City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sao raimundo das mangabeiras,-7.0219,-45.4811,25.95,80,100,1.41,BR,1671266533
84,sinjar,36.3209,41.8754,13.27,56,0,1.09,IQ,1671250668
85,airai,-8.9266,125.4092,15.85,94,100,0.38,TL,1671311730
86,thompson,55.7435,-97.8558,-20.17,83,100,4.63,CA,1671289014
87,geraldton,-28.7667,114.6,21.23,73,51,4.63,AU,1671311930
88,ileza,61.0533,43.9002,-16.64,99,100,1.11,RU,1671257642
89,coquimbo,-29.9533,-71.3436,17.63,76,95,2.71,CL,1671269974
90,ayan,56.45,138.1667,-24.25,78,62,9.42,RU,1671319074
91,tapejara,-28.0681,-52.0139,24.35,45,47,1.63,BR,1671265603
92,chernyshevskiy,63.0128,112.4714,-38.76,100,100,1.4,RU,1671329069
93,ilulissat,69.2167,-51.1,-9.99,57,40,4.12,GL,0
94,lompoc,34.6391,-120.4579,13.21,82,0,5.66,US,1671289376
95,porto walter,-8.2686,-72.7439,24.86,82,100,1.57,BR,1671272945
96,mezen,65.8522,44.24,-11.91,95,80,4.19,RU,1671262157
97,toora-khem,52.4675,96.11,-26.35,99,41,0.32,RU,1671241267
98,avarua,-21.2078,-159.775,25.03,94,75,5.66,CK,1671292370
99,carnarvon,-24.8667,113.6333,24.35,64,0,10.5,AU,1671312694
100,palmer,42.1584,-72.3287,5.35,75,75,5.66,US,1671279137
101,kutum,14.2,24.6667,21.51,17,6,2.83,SD,1671251923
102,brus,43.3836,21.0336,5.72,95,100,2.3,RS,1671256969
103,bambanglipuro,-7.95,110.2833,25.55,83,73,0.98,ID,1671229039
104,cabo san lucas,22.8909,-109.9124,22.51,69,75,1.03,MX,1671285235
105,katsuura,35.1333,140.3,8.01,92,100,2.5,JP,1671313281
106,olinda,-8.0089,-34.8553,28.85,61,20,4.63,BR,1671263877
107,tiznit,29.5833,-9.5,18.69,49,0,2.6,MA,1671261994
108,anadyr,64.75,177.4833,-3.72,86,100,11.0,RU,1671315155
109,ribeira grande,38.5167,-28.7,19.32,82,40,16.54,PT,1671267985
110,taltal,-25.4,-70.4833,20.44,68,1,3.16,CL,1671270400
111,bestobe,52.4994,73.0975,-17.76,83,8,3.83,KZ,1671246803
112,hilo,19.7297,-155.09,24.6,88,0,2.24,US,1671295705
